,C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER
12544,7,1,0,10,0,6,17,0,5,4,0,16,3,1,49,1,1,18,1,1,0,1
12545,11,7,0,19,1,1,16,1,0,0,0,2,0,1,48,1,1,35,1,1,2,1
12546,14,8,3,19,1,1,16,1,0,0,0,16,0,1,48,1,1,61,1,1,2,1
12547,8,6,1,16,1,1,16,1,0,0,0,2,1,1,42,1,1,62,1,2,2,1
12548,8,0,5,12,1,1,18,0,1,2,0,16,0,1,52,1,1,37,1,1,2,1
12549,3,0,1,15,1,1,7,1,0,0,1,0,1,1,51,1,2,30,1,2,2,1
12550,5,10,2,16,1,1,6,1,0,0,1,16,1,11,0,1,1,16,1,2,0,4
12551,11,8,5,15,1,1,6,1,0,0,0,2,0,1,54,1,1,33,1,1,0,1
12552,5,5,3,6,1,1,18,7,0,0,1,16,1,3,49,1,1,33,1,1,2,1
12553,1,7,4,11,1,1,15,1,1,0,4,16,1,1,53,1,1,26,1,0,2,1
12554,13,6,2,17,1,2,6,1,0,0,0,16,0,1,54,1,2,28,1,1,2,1
12555,3,1,2,8,1,1,6,1,0,0,0,0,1,1,50,2,2,23,3,2,2,2
12556,10,8,3,8,1,0,1,0,0,0,0,5,25,0,0,1,1,39,13,2,0,3
12557,1,6,2,8,1,1,15,1,0,0,0,2,1,1,39,1,2,40,1,1,2,1
12558,2,6,0,11,1,1,17,1,0,0,0,15,0,4,53,1,1,45,1,1,1,1
12559,10,10,4,15,1,1,6,0,1,0,1,16,0,1,63,3,2,08,6,1,2,2
12560,15,7,4,15,1,2,16,2,0,0,0,16,2,1,68,2,2,72,2,1,2,2
12561,15,8,4,15,1,0,0,1,0,0,0,16,0,1,57,1,1,18,1,2,2,0
12562,14,6,1,7,1,1,9,0,1,0,0,16,1,9,65,2,2,09,5,2,2,5
12563,0,4,0,17,1,1,6,0,2,1,0,16,0,1,53,1,1,34,1,1,2,1
12564,2,11,1,15,1,1,8,10,1,0,0,16,1,11,0,1,2,35,1,2,0,4
12565,1,9,6,15,1,1,6,1,0,0,0,0,0,1,47,2,2,01,5,1,2,2
12566,0,10,5,16,1,1,15,1,1,4,0,16,0,1,45,1,2,26,1,1,2,1
12567,3,10,4,18,1,2,6,0,0,0,0,16,1,1,53,3,1,03,5,1,2,2
12568,7,8,6,19,1,1,6,0,2,0,0,16,1,1,60,1,1,53,1,1,2,1
12569,0,11,0,13,1,1,6,1,2,1,0,0,1,3,53,2,1,02,4,1,2,2
12570,2,8,1,10,1,1,6,1,0,0,0,0,0,4,39,1,1,40,1,1,2,1
12571,7,4,3,12,1,1,7,0,0,0,0,16,1,5,57,2,1,21,3,1,2,2
12572,6,2,3,17,1,1,6,1,0,1,0,0,1,1,54,1,1,18,1,1,2,1
12573,13,5,6,15,1,1,6,0,0,0,0,16,1,1,59,1,1,45,1,1,2,1
12574,8,0,4,20,1,2,7,0,2,1,0,16,0,1,54,1,2,39,1,1,2,1
12575,4,0,3,18,1,1,15,1,0,0,0,2,1,1,55,4,1,16,4,2,2,2
12576,13,6,2,18,1,1,11,1,0,0,0,0,1,1,58,2,2,52,3,2,2,2
12577,10,10,0,8,1,1,6,0,0,0,0,16,1,1,54,1,1,67,1,1,2,1
12578,3,4,4,20,1,1,7,1,0,0,0,16,0,1,47,2,2,17,3,1,2,2
12579,3,6,4,22,1,0,0,1,0,0,0,16,0,1,51,1,1,51,1,1,2,1
12580,15,5,2,9,1,1,6,1,0,1,0,16,0,5,54,1,1,47,1,1,2,1
12581,12,4,2,8,1,1,18,0,1,0,4,10,1,1,59,1,1,56,1,1,2,1
12582,11,9,6,8,1,1,7,1,5,0,0,16,0,1,60,2,1,18,3,2,2,2
12583,7,4,5,8,1,1,16,1,0,0,0,0,0,1,59,2,2,21,3,2,2,2
12584,0,11,6,14,1,1,15,1,0,1,0,16,0,1,52,1,2,20,1,2,2,1
12585,15,4,1,14,1,1,16,0,0,0,0,16,0,1,53,2,2,17,3,2,2,2
12586,0,0,1,18,1,1,14,1,0,1,0,2,25,0,0,4,2,16,13,2,2,3
12587,12,11,3,16,1,1,6,4,0,0,0,16,1,1,63,2,2,23,3,2,2,2
12588,1,0,4,13,1,0,5,0,0,1,3,16,0,1,50,1,1,45,1,1,0,1
12589,1,6,4,22,1,1,18,0,0,0,0,16,0,1,43,1,1,51,1,1,2,1
12590,10,7,6,10,1,0,5,0,5,0,2,16,0,1,49,1,1,50,1,2,1,1
12591,8,10,2,19,1,1,6,0,0,0,0,16,1,1,52,1,2,37,1,2,2,1
12592,12,4,6,11,1,1,6,1,1,0,0,1,0,1,62,1,2,29,1,1,2,1
12593,10,3,3,15,1,1,6,0,0,0,0,16,0,1,53,1,1,18,1,1,2,1
12594,4,10,5,10,1,1,6,0,3,1,0,0,0,1,44,1,1,52,1,2,2,1
12595,11,1,6,12,1,1,15,1,0,0,0,0,0,1,48,4,1,07,6,2,2,2
12596,4,0,2,10,1,2,6,0,0,1,0,16,2,1,48,2,2,63,3,1,2,2
12597,11,6,3,17,1,0,6,10,2,1,2,16,0,9,64,1,1,37,1,2,3,5
12598,14,9,5,15,1,1,11,1,0,0,0,2,0,1,64,1,1,55,1,2,2,1
12599,11,8,4,20,1,1,6,1,0,0,0,0,1,1,63,1,2,47,1,2,2,1
12600,14,5,5,15,1,3,6,0,0,0,0,16,1,1,53,2,1,13,2,1,2,2
12601,0,3,1,10,1,2,6,1,0,0,0,0,2,1,40,1,1,78,1,1,2,1
12602,2,5,3,10,1,1,15,1,0,0,0,0,0,1,47,1,1,74,1,0,0,1
12603,5,5,6,15,1,1,6,0,0,0,1,16,0,1,57,1,2,46,1,1,2,1
12604,7,10,2,18,1,1,13,1,0,0,0,16,1,9,34,1,1,32,1,2,0,5
12605,5,0,5,10,1,1,6,1,0,2,0,16,0,1,57,1,1,16,1,2,2,1
12606,8,7,3,17,1,1,15,1,0,0,1,2,1,1,60,1,1,87,1,2,2,1
12607,2,5,3,22,1,1,6,1,0,0,0,16,0,1,46,2,1,12,4,2,2,2
12608,8,0,1,14,1,0,2,1,0,4,2,16,0,1,45,1,2,20,1,2,2,1
12609,5,1,6,12,1,1,15,1,0,0,0,2,1,1,50,2,2,05,4,2,2,2
12610,4,7,0,12,1,3,6,2,0,0,0,16,2,1,50,1,2,38,1,2,2,1
12611,13,10,2,15,1,1,16,2,0,0,0,16,1,2,58,1,1,26,1,1,2,1
12612,12,0,3,17,1,2,6,0,1,0,0,16,2,1,63,1,2,25,1,2,2,1
12613,8,1,2,8,1,0,5,0,0,0,0,16,0,1,59,1,1,52,1,2,2,1
12614,11,10,3,19,1,1,6,0,3,4,0,16,0,1,59,1,2,68,1,2,2,1
12615,6,8,4,12,1,1,17,0,0,0,0,16,0,1,56,2,1,05,4,1,2,2
12616,1,9,4,19,1,1,6,1,2,1,0,16,1,1,43,1,2,34,1,2,2,1
12617,12,11,2,11,1,1,15,1,2,1,0,2,0,1,52,1,1,31,1,2,2,1
12618,12,4,0,11,1,1,6,2,0,0,0,16,0,1,64,1,1,26,1,1,2,1
12619,4,8,5,10,1,1,15,1,0,0,0,0,0,1,57,1,2,59,1,2,2,1
12620,4,9,2,12,1,1,6,1,0,0,0,16,0,1,49,1,2,49,1,1,2,1
12621,3,9,3,8,1,1,6,1,1,1,0,16,0,1,43,1,1,43,1,2,2,1
12622,12,1,0,10,1,0,5,0,3,1,2,16,0,1,58,2,2,64,3,2,2,2
12623,6,3,0,18,1,1,16,2,0,0,0,16,0,1,45,2,1,30,3,1,2,2
12624,3,8,3,7,1,2,16,2,0,0,0,16,2,1,43,1,1,30,1,1,0,1
12625,0,8,6,19,1,1,15,10,1,0,0,16,0,1,51,1,1,35,1,1,2,1
12626,9,10,1,16,1,1,15,1,0,1,0,2,1,1,53,1,1,52,1,2,2,1
12627,15,7,2,11,1,0,6,1,1,0,2,16,0,1,63,1,2,64,1,1,2,1
12628,0,11,4,14,1,1,6,1,0,0,0,0,1,1,53,1,1,38,1,1,2,1
12629,0,9,6,16,1,1,14,2,0,0,0,16,1,1,54,1,1,20,1,1,2,1
12630,14,0,6,17,1,2,6,0,7,0,0,16,1,1,57,1,2,23,1,2,2,1
12631,2,7,4,20,1,1,16,2,0,0,0,17,1,1,45,1,1,24,1,1,2,1
12632,1,11,4,21,1,1,13,1,0,0,0,0,0,1,45,1,1,33,1,2,2,1
12633,14,2,5,14,1,1,15,1,0,0,0,0,0,1,58,2,2,07,4,1,2,2
12634,13,6,0,2,1,0,5,1,0,0,0,0,0,18,65,1,1,36,1,2,2,0
12635,6,9,4,12,1,2,6,1,0,0,1,0,2,5,43,1,1,23,1,1,2,1
12636,14,11,6,1,1,1,15,1,0,0,0,1,0,1,59,3,1,20,6,1,1,2
12637,15,0,5,7,1,1,6,1,0,0,0,0,0,1,63,1,2,85,1,2,2,1
12638,13,5,0,15,1,1,15,1,0,0,0,16,0,1,60,1,1,39,1,1,2,1
12639,15,6,2,13,1,1,16,2,0,0,1,16,0,2,59,1,1,53,1,1,2,1
12640,5,5,4,2,1,1,9,0,1,1,0,16,0,9,54,1,1,31,1,2,0,5
12641,11,4,6,19,1,1,15,1,0,0,0,2,1,1,53,1,2,54,1,2,7,1
12642,0,0,3,16,1,1,6,1,0,9,0,16,1,1,50,1,1,24,1,1,2,1
12643,14,5,4,18,1,2,6,0,0,0,0,16,1,9,59,1,1,14,10,2,3,5
12644,2,7,6,16,1,2,6,1,2,1,0,0,1,1,52,1,1,24,1,2,2,1
12645,1,4,1,15,1,1,9,0,2,1,0,16,0,1,40,1,2,19,1,2,2,1
12646,7,3,0,22,1,1,15,1,0,0,0,0,0,1,43,2,1,18,3,2,2,2
12647,2,1,3,21,1,1,13,1,2,1,0,0,0,1,44,1,1,41,1,1,2,1
12648,7,1,4,6,1,1,16,2,2,1,0,16,0,1,46,2,1,40,3,2,2,2
12649,8,4,5,15,1,1,16,2,0,0,0,16,0,1,49,3,2,47,6,2,2,2
12650,5,5,0,17,1,1,15,0,0,0,0,16,0,1,51,1,2,46,1,1,2,1
12651,10,5,5,2,1,1,7,0,0,0,0,16,0,11,54,1,1,18,1,2,6,4
12652,13,4,4,22,1,1,16,1,0,0,0,0,1,1,59,1,1,29,1,2,2,1
12653,13,4,3,9,1,0,3,1,0,0,5,16,0,1,52,1,1,31,1,2,2,1
12654,11,9,4,1,1,0,1,0,2,1,0,16,0,1,46,1,1,25,1,1,2,1
12655,11,11,3,22,1,2,18,1,0,4,0,0,1,1,58,3,2,61,4,2,2,2
12656,7,11,4,16,1,1,15,1,0,0,0,0,0,1,60,1,1,38,1,1,2,1
12657,15,1,3,21,1,1,13,1,0,0,0,0,0,1,67,3,2,13,4,2,2,2
12658,13,1,2,7,1,1,15,1,0,0,0,2,1,1,59,1,1,50,1,2,2,1
12659,9,3,6,13,1,2,6,1,0,0,1,16,0,1,52,1,1,20,1,1,2,1
12660,15,2,1,11,1,0,5,10,0,0,0,16,25,0,0,1,1,23,13,2,1,3
12661,1,10,1,14,1,2,15,1,2,1,0,0,0,1,49,1,1,35,1,0,0,1
12662,7,5,2,13,1,1,15,1,0,0,0,0,0,1,52,1,2,52,1,2,2,1
12663,0,0,4,13,1,1,6,1,0,1,0,0,1,3,50,2,2,80,3,2,2,2
12664,10,7,6,10,1,0,1,0,1,0,6,16,0,9,57,1,1,62,1,2,0,5
12665,14,2,2,19,1,1,13,0,2,1,3,2,1,5,55,1,1,57,1,1,2,1
12666,1,8,4,21,1,1,15,1,0,0,0,0,0,1,54,1,1,18,1,1,0,1
12667,3,10,4,20,1,1,6,1,0,0,0,2,1,1,50,3,2,41,4,2,2,2
12668,11,1,2,4,1,2,6,2,0,5,2,16,0,1,59,1,2,18,1,2,2,1
12669,2,8,5,16,1,3,15,1,0,0,0,0,0,1,39,1,1,48,1,1,2,1
12670,11,10,3,19,1,0,2,4,2,1,0,16,0,1,44,2,1,18,3,1,2,2
12671,3,2,1,14,1,0,5,0,3,3,0,16,0,1,55,1,2,20,1,2,2,1
12672,12,11,3,6,1,0,3,0,0,0,0,16,0,1,58,1,1,20,1,1,2,1
12673,12,5,1,15,1,2,6,0,0,0,0,16,0,1,62,1,2,39,1,1,2,1
12674,2,5,5,18,1,0,5,1,0,0,0,16,0,1,52,5,2,15,10,2,1,2
12675,2,10,2,16,1,1,18,0,3,3,1,16,0,1,54,1,1,51,1,1,2,1
12676,10,5,0,15,1,1,15,0,0,0,0,16,0,1,59,1,1,23,1,1,2,1
12677,3,11,1,9,1,2,6,1,0,0,0,0,1,1,54,1,1,73,1,1,2,1
12678,2,2,2,17,1,1,15,1,0,5,0,2,0,1,53,1,2,40,1,2,2,1
12679,1,11,6,15,1,1,7,0,3,4,0,16,0,1,43,5,2,24,5,2,6,2
12680,8,0,6,14,1,0,5,0,3,4,2,16,0,1,49,2,2,69,3,2,2,2
12681,7,9,6,21,1,3,5,0,0,0,0,16,1,1,59,1,1,27,1,1,2,1
12682,4,11,0,13,1,2,6,0,0,1,0,16,0,1,49,1,2,41,1,2,2,1
12683,3,1,4,12,1,0,5,0,0,0,0,16,0,1,48,2,2,03,4,2,2,2
12684,9,9,6,12,1,1,13,1,0,0,1,0,1,1,58,1,1,36,1,0,0,1
12685,10,0,4,17,1,2,6,0,0,0,0,16,1,1,47,1,1,43,1,2,2,1
12686,14,11,6,11,1,1,15,1,0,1,0,0,0,3,65,1,1,51,1,1,2,1
12687,14,3,4,18,1,2,6,0,0,0,0,16,0,1,55,2,2,64,3,2,2,2
12688,5,2,6,21,1,1,15,1,0,0,0,17,1,1,42,1,1,36,1,2,2,1
12689,3,5,6,15,1,1,6,2,0,0,2,16,0,1,45,1,1,23,1,1,2,1
12690,13,2,6,0,1,0,3,0,1,0,3,16,0,1,56,3,1,18,4,1,2,2
12691,0,0,6,16,1,1,6,1,2,1,0,0,1,1,50,2,2,18,3,2,2,2
12692,6,9,1,9,1,1,15,1,2,1,0,0,0,1,58,1,2,18,1,2,2,1
12693,5,5,1,13,1,1,12,4,0,0,3,16,0,2,54,1,1,18,1,1,2,1
12694,9,8,0,6,1,1,6,2,0,1,1,16,0,1,59,1,1,66,1,1,2,1
12695,12,0,5,3,1,0,3,1,0,9,0,16,0,4,55,6,1,20,2,2,1,2
12696,6,9,5,12,1,1,16,1,0,0,0,16,1,1,53,1,1,17,1,2,2,1
12697,8,1,1,13,1,1,6,0,0,0,0,16,0,1,43,1,1,19,1,1,2,1
12698,8,2,0,21,1,1,16,1,0,2,0,0,0,1,57,1,1,53,1,2,2,1
12699,15,11,5,15,1,1,13,1,0,1,0,0,0,1,57,1,2,25,1,1,2,1
12700,6,0,3,10,1,1,6,1,3,9,0,0,0,4,44,1,1,55,1,1,2,1
12701,10,4,6,12,1,1,11,0,1,0,0,16,0,1,60,1,1,76,1,2,2,1
12702,2,11,0,6,1,1,15,1,1,2,0,0,1,1,50,1,1,38,1,0,0,1
12703,6,11,1,8,1,0,5,2,0,0,3,16,0,1,54,1,2,50,1,2,2,1
12704,7,1,2,9,1,0,5,1,0,0,0,0,0,1,53,1,1,35,1,1,0,1
12705,4,6,0,10,1,1,6,1,2,1,1,0,0,1,47,1,1,69,1,1,2,1
12706,3,11,0,15,1,2,6,1,0,0,0,0,2,1,55,1,2,37,1,1,2,1
12707,8,4,0,9,1,0,5,2,0,0,0,16,25,0,0,1,1,37,13,2,6,3
12708,3,10,4,12,1,1,13,0,1,1,1,16,0,1,43,2,2,31,3,2,2,2
12709,10,0,3,16,1,1,6,0,4,4,1,16,0,1,59,1,1,31,1,1,2,1
12710,10,11,3,9,1,1,6,0,1,0,0,16,0,1,55,1,1,20,1,2,2,1
12711,8,3,2,13,1,3,6,0,0,0,0,16,0,3,47,1,1,43,1,1,2,1
12712,13,9,4,17,1,1,15,1,2,1,0,0,0,1,45,1,1,61,1,1,2,1
12713,8,9,0,16,1,1,6,0,0,0,0,16,0,1,59,1,2,18,1,2,2,1
12714,2,6,3,18,1,0,5,1,0,0,0,0,25,0,0,1,2,70,13,2,6,3
12715,7,10,0,14,1,2,15,1,0,4,1,0,1,1,56,4,2,18,6,1,2,2
12716,8,2,1,17,1,0,5,1,0,0,0,2,0,1,55,1,1,32,1,1,2,1
12717,8,11,2,16,1,1,16,1,0,1,0,16,1,1,57,1,1,49,1,1,2,1
12718,13,11,0,14,1,0,3,0,1,4,0,16,0,1,50,1,1,49,1,2,2,1
12719,3,0,3,8,1,0,5,1,0,4,0,2,25,0,0,1,2,07,13,2,6,3
12720,10,11,3,15,1,1,13,2,0,0,0,16,0,1,51,2,1,54,1,1,2,1
12721,14,2,0,8,1,1,6,0,0,9,0,16,1,1,60,1,2,43,1,2,2,1
12722,12,7,3,17,1,1,15,1,0,0,0,2,1,11,54,1,1,18,1,1,0,4
12723,4,5,0,18,1,1,6,1,0,0,0,2,1,1,55,1,2,26,1,1,2,1
12724,1,3,3,22,1,1,15,1,1,1,0,2,1,1,37,2,1,21,3,2,2,2
12725,4,0,4,16,1,1,11,0,0,0,3,16,0,1,53,1,1,44,1,2,2,1
12726,2,2,5,6,1,0,5,0,5,3,0,16,0,1,50,1,2,40,1,2,2,1
12727,6,8,6,0,1,1,15,1,0,0,2,16,1,1,47,1,1,26,1,2,2,1
12728,6,2,2,22,1,2,7,0,3,1,0,16,0,1,54,1,1,18,1,1,0,0
12729,6,9,1,9,1,2,6,1,0,0,0,0,2,1,51,1,1,32,1,1,2,1
12730,8,6,3,18,1,1,6,1,0,0,0,0,0,1,61,1,1,29,1,2,2,1
12731,0,6,3,11,1,2,18,1,0,0,0,0,1,1,42,2,2,30,3,2,2,2
12732,3,4,6,13,1,1,6,3,0,0,1,16,1,1,52,1,1,46,1,0,2,1
12733,13,3,2,20,1,1,11,1,2,1,0,16,0,3,51,1,1,45,1,1,2,1
12734,11,6,3,19,1,1,16,1,0,0,0,0,0,1,53,1,1,45,1,1,0,1
12735,8,1,2,19,1,1,15,1,0,0,0,16,1,1,57,1,1,66,1,0,2,1
12736,2,7,5,4,1,1,16,2,0,0,0,16,0,1,54,1,1,25,1,2,2,1
12737,13,6,1,18,1,4,6,0,0,0,0,16,2,1,57,1,1,28,1,1,2,1
12738,5,5,0,17,1,1,6,1,0,0,0,16,1,3,45,1,1,42,1,1,2,1
12739,1,6,0,16,1,1,8,0,0,0,1,16,1,1,47,1,2,22,1,2,2,1
12740,2,4,6,13,1,1,7,0,2,1,1,16,1,1,54,1,2,24,1,2,2,1
12741,5,11,3,13,1,0,0,1,1,0,0,0,25,0,0,1,1,31,13,2,2,3
12742,2,0,1,16,1,2,6,1,0,0,0,0,1,1,44,1,1,51,1,2,2,1
12743,12,0,1,16,1,2,6,0,3,2,0,16,2,1,59,1,1,18,1,1,0,1
12744,3,8,2,6,1,1,15,1,0,0,0,0,1,1,53,1,1,63,1,1,2,1
12745,6,9,4,0,1,1,17,0,0,0,1,16,1,1,56,1,1,18,1,1,0,1
12746,9,4,2,18,1,2,15,1,2,1,0,0,0,1,62,1,1,84,1,1,2,1
12747,10,11,2,13,1,1,15,0,0,4,0,0,0,1,48,1,1,76,1,1,2,1
12748,13,9,4,13,1,1,13,1,2,1,0,2,1,1,62,1,1,33,1,1,2,1
12749,0,10,6,8,1,1,13,1,0,0,0,0,0,1,43,2,1,31,3,1,2,2
12750,13,4,3,11,1,2,13,1,2,1,0,0,1,1,53,1,2,36,1,2,2,1
12751,0,9,5,10,1,0,0,0,2,1,3,16,0,1,45,1,1,25,1,2,2,1
12752,11,9,1,10,1,0,5,1,0,0,0,16,25,0,0,1,1,22,13,2,1,3
12753,11,9,0,13,1,1,18,0,0,0,0,16,1,11,0,1,1,33,1,2,2,4
12754,8,4,5,20,1,0,5,0,2,1,0,16,0,1,42,1,1,48,1,2,1,1
12755,5,2,5,13,1,0,5,1,0,9,0,16,0,1,42,3,1,06,4,1,2,2
12756,7,9,3,7,1,1,13,1,1,1,0,2,1,1,54,1,2,35,1,2,2,1
12757,12,5,1,17,1,1,18,1,1,0,1,16,1,1,55,1,1,51,1,0,0,1
12758,13,3,5,6,1,1,15,1,2,1,0,0,1,4,61,1,1,35,1,2,1,1
12759,7,11,5,14,1,0,2,1,1,2,0,16,0,1,54,1,2,22,1,2,2,1
12760,3,5,2,15,1,1,13,1,0,0,0,0,1,1,52,1,1,32,1,1,2,1
12761,10,9,5,16,1,1,16,2,0,0,2,16,1,1,54,1,2,42,1,2,2,1
12762,1,11,5,22,1,1,13,1,0,9,0,0,0,1,52,2,1,51,3,1,2,2
12763,8,7,2,13,1,1,6,1,0,0,0,16,0,1,55,2,1,22,3,1,2,2
12764,7,8,4,19,1,1,6,0,2,1,0,16,0,1,49,2,1,47,4,1,2,2
12765,14,8,4,14,1,1,15,1,0,0,0,0,0,1,62,1,2,32,1,2,2,1
12766,15,8,3,11,1,1,6,0,0,0,0,16,0,1,64,1,2,26,1,1,2,1
12767,13,10,5,11,1,1,15,1,0,0,0,2,0,1,61,1,2,54,1,1,2,1
12768,0,11,2,21,1,1,11,1,0,0,0,16,1,1,46,2,2,23,3,2,2,2
12769,3,11,0,0,1,1,15,1,0,0,0,2,0,1,57,1,1,59,1,0,0,1
12770,10,7,3,18,1,0,1,10,2,1,0,16,25,0,0,1,2,41,13,2,0,3
12771,9,2,6,18,1,1,6,0,0,0,1,16,1,1,61,3,1,01,5,1,2,2
12772,8,2,5,16,1,1,6,1,0,0,0,0,1,1,55,1,1,79,1,2,2,1
12773,14,5,5,15,1,1,6,0,1,0,0,16,1,1,61,1,2,64,3,1,2,2
12774,4,5,1,16,1,1,13,1,0,0,0,2,1,1,54,1,1,29,1,0,0,1
12775,7,1,3,19,1,0,2,1,1,2,2,16,0,1,50,1,2,17,1,2,2,1
12776,3,8,0,15,1,1,6,0,0,0,2,16,1,1,51,1,1,47,1,2,2,1
12777,1,3,0,15,1,0,5,0,0,0,0,16,0,1,39,1,1,63,1,1,2,1
12778,12,9,3,8,1,1,13,0,2,1,0,16,1,1,53,1,1,59,1,2,2,1
12779,1,8,5,17,1,1,6,0,0,0,0,16,0,1,47,1,1,34,1,1,2,1
12780,6,7,0,19,1,1,17,0,0,0,2,16,1,1,55,1,1,18,1,1,0,1
12781,0,6,6,11,1,0,3,1,0,1,3,16,0,1,46,1,1,39,1,2,2,1
12782,13,3,1,14,1,0,18,1,0,0,0,16,0,1,54,1,1,33,1,1,0,1
12783,15,1,3,9,1,2,6,1,0,2,0,0,2,1,54,1,1,18,1,1,0,0
12784,6,10,4,10,1,1,6,0,0,1,0,16,1,1,51,1,1,37,1,1,2,1
12785,12,7,3,17,1,0,3,0,0,1,0,17,0,1,66,2,2,56,3,2,2,2
12786,7,2,4,16,1,1,15,0,0,0,0,16,0,1,60,1,2,28,1,1,2,1
12787,1,2,4,16,1,2,6,0,0,0,0,16,0,1,46,1,2,51,1,2,2,1
12788,1,1,1,12,1,1,15,1,0,1,0,0,0,1,53,1,2,31,1,1,2,1
12789,8,5,2,13,1,1,8,2,1,0,1,16,1,0,42,2,2,55,14,0,0,0
12790,9,6,1,1,1,3,14,0,0,0,0,16,0,1,61,1,1,18,1,1,1,0
12791,3,11,4,12,1,1,16,1,0,1,0,0,0,1,48,1,1,20,1,1,2,1
12792,9,2,0,14,1,1,6,1,0,0,0,0,1,1,59,1,2,57,1,2,2,1
12793,11,4,4,2,1,0,1,1,0,0,1,2,0,1,54,2,1,21,3,2,2,2
12794,14,9,2,7,1,1,13,1,2,1,0,0,1,1,61,1,1,28,1,1,2,1
12795,13,8,1,17,1,1,16,2,0,0,0,16,1,11,59,2,1,38,5,2,6,4
12796,0,2,0,23,1,1,14,1,0,0,0,0,1,3,45,1,1,18,1,1,2,1
12797,3,11,2,16,1,2,17,0,0,0,0,0,2,1,46,1,1,18,1,0,0,1
12798,12,4,0,18,1,1,5,0,0,0,0,16,0,1,42,2,1,52,3,2,2,2
12799,12,6,0,9,1,1,10,1,0,0,0,16,0,4,52,1,1,53,1,2,2,1
12800,6,9,6,0,1,1,16,1,2,1,1,0,1,1,50,1,2,22,1,2,2,1
12801,10,8,1,19,1,3,6,1,1,0,0,16,0,1,41,1,1,19,1,1,2,1
12802,2,2,0,8,1,2,6,1,3,9,0,16,1,1,46,3,2,28,5,2,2,2
12803,5,10,6,1,1,1,15,1,1,0,0,0,0,1,46,1,1,44,1,2,2,1
12804,6,9,0,11,1,1,15,1,0,0,2,16,0,1,49,1,1,72,1,0,2,1
12805,15,9,1,6,1,1,16,1,0,0,0,0,1,1,49,1,1,26,1,2,2,1
12806,14,0,3,22,1,2,6,1,0,4,0,0,2,1,60,1,2,49,1,2,2,1
12807,4,10,3,0,1,0,2,0,0,0,0,16,0,3,56,2,1,35,3,2,2,2
12808,2,2,5,2,1,0,3,1,0,0,3,16,0,1,54,1,1,46,1,2,1,1
12809,9,10,6,20,1,0,6,1,2,1,0,16,0,1,46,1,1,51,1,1,2,1
12810,3,10,4,19,1,1,15,1,2,1,1,2,0,1,49,1,1,47,1,2,2,1
12811,13,9,5,3,1,0,15,1,2,1,1,0,25,0,0,1,2,29,13,2,0,3
12812,14,3,6,15,1,0,3,0,0,0,1,16,0,1,56,1,2,78,1,2,1,1
12813,9,0,3,12,1,0,5,0,0,0,3,16,0,1,62,1,2,28,1,2,2,1
12814,15,7,4,17,1,2,6,1,0,0,0,16,1,1,63,2,1,06,6,2,2,2
12815,0,2,0,9,1,0,2,0,0,1,0,16,0,3,47,1,2,62,1,2,2,1
12816,4,8,6,13,1,1,6,1,2,1,0,16,1,1,51,3,1,13,4,2,2,2
12817,14,2,1,16,1,1,6,0,0,0,0,16,0,1,64,1,1,34,1,1,2,1
12818,10,6,0,18,1,1,8,0,0,0,0,16,1,1,63,1,1,67,1,2,2,1
12819,3,10,0,18,1,2,18,0,3,2,3,16,2,3,53,2,1,54,3,2,2,2
12820,5,4,3,19,1,1,13,1,0,0,0,16,0,1,41,1,1,54,1,2,2,1
12821,13,2,4,9,1,0,2,0,4,4,1,11,0,1,60,2,1,18,14,0,0,0
12822,5,2,4,15,1,1,16,2,3,1,0,16,0,1,53,1,2,25,1,2,2,1
12823,4,8,5,8,1,1,6,0,1,0,0,16,1,1,57,1,1,48,1,0,0,1
12824,1,11,0,10,1,1,13,1,0,2,1,16,1,1,51,1,2,53,1,2,2,1
12825,11,3,2,14,1,1,6,10,0,9,3,5,1,11,54,1,1,39,10,2,1,4
12826,14,10,6,12,1,1,16,1,0,0,0,2,0,1,65,2,1,03,6,1,2,2
12827,11,1,3,12,1,1,15,1,1,0,0,0,1,3,59,1,1,72,1,2,2,1
12828,3,6,5,16,1,1,6,0,1,0,0,0,1,1,49,2,2,05,6,2,2,2
12829,3,2,3,16,1,1,6,1,0,0,0,2,1,1,54,1,2,27,1,2,2,1
12830,4,2,4,9,1,1,6,1,0,9,0,16,1,1,47,1,2,24,1,2,2,1
12831,2,3,5,20,1,0,5,1,0,0,0,0,0,9,53,1,1,62,1,2,3,5
12832,11,6,5,15,1,1,6,1,0,0,0,3,0,1,53,1,1,19,1,1,2,1
12833,8,1,6,13,1,1,6,0,0,0,1,16,1,1,60,4,2,16,6,2,2,2
12834,3,3,2,19,1,1,6,0,0,0,0,0,1,1,51,1,2,32,1,2,2,1
12835,12,1,0,0,1,1,15,1,3,3,0,0,0,1,61,2,1,20,3,1,2,2
12836,4,6,3,16,1,1,6,1,1,1,0,0,1,1,43,1,1,54,1,1,2,1
12837,13,0,1,17,1,1,6,3,0,0,2,16,0,3,54,1,1,36,1,0,2,1
