,C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER
66,10,4,1,12,1,2,5,4,0,0,0,16,0,2,59,1,1,28,1,2,2,1
67,4,2,6,17,1,1,6,0,0,0,0,16,0,1,51,4,2,06,8,1,6,2
68,11,5,3,7,1,2,6,2,0,0,0,16,2,1,61,1,2,51,1,1,2,1
69,8,5,0,13,1,1,11,0,0,0,0,16,1,8,62,10,2,22,8,2,6,2
70,5,8,1,16,1,2,6,1,0,0,2,16,1,1,54,1,1,79,1,1,0,1
71,13,11,6,15,1,1,7,0,3,9,0,17,1,4,56,0,0,111,0,0,0,0
72,15,1,4,9,1,1,16,1,0,4,0,2,0,1,58,1,1,17,1,1,2,1
73,14,10,0,14,1,1,6,1,2,1,0,0,1,1,67,1,1,58,1,2,2,1
74,11,8,4,6,1,1,9,1,0,0,0,0,1,1,55,1,1,18,1,2,2,0
75,0,4,6,14,1,1,14,1,0,0,1,2,0,1,41,1,1,86,1,2,2,1
76,11,11,2,8,1,1,6,1,1,2,1,2,1,3,54,1,1,18,1,1,2,1
77,0,3,3,12,1,5,6,4,0,0,1,16,2,1,41,1,1,22,1,2,2,1
78,5,8,3,15,1,1,15,1,0,0,0,0,0,1,47,1,2,26,1,1,2,1
79,8,2,2,14,1,0,2,0,0,0,1,16,25,0,0,1,1,39,14,0,0,3
80,2,3,0,22,1,0,2,0,1,0,0,16,0,1,42,1,2,20,1,2,1,1
81,15,0,5,14,1,1,15,1,2,1,0,0,0,1,65,2,1,05,4,1,2,2
82,5,9,1,7,1,1,15,1,1,0,0,2,1,1,44,2,2,25,3,2,2,2
83,0,10,1,16,1,1,13,1,0,0,0,16,0,11,54,1,1,24,1,2,2,4
84,3,3,5,1,1,0,18,0,0,0,3,16,0,3,35,2,2,56,12,2,2,0
85,14,4,3,16,1,1,6,0,0,0,0,16,1,1,59,1,1,35,1,2,2,1
86,14,7,3,17,1,1,15,2,0,0,0,16,1,11,54,1,1,18,1,2,3,4
87,13,7,4,10,1,1,6,2,0,0,0,16,1,1,66,2,2,80,3,2,2,2
88,15,5,6,15,0,1,11,0,0,0,3,16,0,1,68,3,1,01,4,2,2,2
89,6,9,1,12,1,3,7,0,0,0,0,16,0,12,54,2,2,65,3,1,2,2
90,12,1,3,15,1,1,6,0,0,0,0,16,0,8,53,34,1,17,10,1,6,2
91,10,2,1,22,1,1,7,1,0,0,1,0,1,1,54,3,1,27,6,1,2,2
92,10,7,0,17,1,1,6,0,0,0,0,16,1,1,54,1,2,21,1,1,2,1
93,9,2,5,16,1,3,6,0,0,0,0,0,2,1,60,2,1,05,6,1,2,2
94,11,6,4,16,1,1,6,1,0,0,0,16,0,1,55,1,1,19,1,1,6,1
95,1,2,4,10,1,1,15,1,0,0,0,2,1,1,43,2,2,35,3,1,2,2
96,3,10,3,1,1,1,6,0,0,0,0,16,0,1,56,1,1,32,1,0,0,1
97,15,4,5,12,1,1,15,1,0,0,0,2,0,1,50,1,1,84,1,1,2,1
98,11,1,6,2,1,2,6,1,2,1,1,0,1,1,58,1,1,27,1,2,2,1
99,0,9,3,22,1,1,6,10,0,0,1,16,1,1,51,1,1,56,1,1,2,1
100,4,2,6,12,1,2,5,0,0,0,0,16,1,1,56,3,1,14,4,1,2,2
101,8,4,3,10,1,1,15,1,0,0,0,0,0,1,56,1,1,29,1,2,2,1
102,3,6,4,18,1,1,18,1,0,0,0,0,1,11,0,1,2,20,1,2,0,4
103,7,2,4,15,1,0,1,0,0,0,0,16,0,1,59,1,2,63,1,1,2,1
104,2,9,1,16,1,0,0,2,1,0,0,16,0,1,42,1,1,35,1,1,2,1
